sanskrit_root,pie_root,iecor_pie_root,set,pie_ends_with_laryngeal,gemini_pie_root,gemini_best_guess,wiktionary_pie_roots,wiktionary_pii_roots,wiktionary_status
पा,"pā- : pə-, and pā-t- : pə-t-",*peh₃(i̯)-,N,Y,*peh₃-,,*peh₂-; *peh₃-; *peH-; *(s)peh₂-,,ok
रा,,,N,Y,*reh₁-,,*(H)reh₁-; *leh₂-,,ok
ला,,,N,Y,*leh₁-,N,,,no_sanskrit_section
दा,dā-,*deh₃-,N,Y,*deh₃-,,*deh₃-; *deh₂-; *deh₁-,*daH-,ok
ख्या,,,N,Y,*ǵneh₃-,,*kʷeḱ-,,ok
प्रा,prā-,,N,N,*per-,,,,missingtitle
मा,,,N,Y,*meh₂-,,*méh₁; *éǵh₂; *meh₁-,*máH; *maH-,ok
वच्,,,Y,N,*wekʷ-,,*wekʷ-,,ok
विद्,,*u̯ei̯d-,Y,N,*weid-,,*weyd-,*wayd-,ok
अस्,"ā̆s-, based on it azd-, azg(h)-",*h₁es-,Y,N,*h₁es-,,*h₁es-,*Has-; -,ok
मृज्,,,Y,N,*melǵ-,,*h₃merǵ-,,ok
रुद्,,*reu̯dH-,Y,N,*rewdʰ-,,*HrewdH-,*HrawdH-,ok
स्वप्,,,N,N,*swep-,,*swep-,,ok
श्वस्,,,Y,N,*kʷʰes-,,"t=to pant, puff, sigh; *ḱewH-",*ćwás,ok
अन्,,*h₂enh₁-,Y,Y,*h₁enh₂-,,*h₂enh₁-,,ok
जक्ष्,,,Y,N,*ǵʰés-,,,,missingtitle
जागृ,,,Y,N,*ǵer-,,*h₁ger-,,ok
दरिद्रा,,,Y,N,*dʰer-,,,,missingtitle
चकास्,,,Y,Y,*ḱeh₂-,,,,missingtitle
शास्,,,Y,Y,*ḱeh₂-,,*ḱeh₁s-,,ok
दीधी,,,Y,Y,*dʰeh₁-,,,,missingtitle
वेवी,,,Y,Y,*weyh₁-,N,,,missingtitle
सस्,,,Y,Y,*seh₁-,,*ses-,,ok
संस्त्,,,Y,Y,*steh₂-,N,,,missingtitle
वश्,,,Y,N,*h₁weǵʰ-,,*weḱ-,,ok
चर्करीतं,,,N,-,,Y,,,missingtitle
ह्नु,,,N,N,*h₂negʷʰ-,,*ǵʰnew-,,ok
हु,,,N,N,*ǵʰew-,,*ǵʰew-,*źʰaw-; *ȷ́ʰaw-,ok
भी,,*bʰei̯h₂-,N,Y,*bʰeyh₂-,,*bʰeyh₂-,*bʰíHs,ok
ह्री,,,N,N,*(s)h₂reḯ-,,*ǵʰreyH-,,ok
पॄ,,,Y,Y,*pelh₂-,,*pleh₁-; *perh₃-,,ok
पृ,,,N,Y,*pelh₂-,,*per-,,ok
भृ,,*bʰer-,N,N,*bʰer-,,*bʰer-,*bʰar-,ok
मा,,,N,Y,*meh₂-,,*méh₁; *éǵh₂; *meh₁-,*máH; *maH-,ok
हा,hā̆,,N,Y,*seh₂-,,*ǵʰeh₁-,*ȷ́ʰaH-,ok
हा,hā̆,,N,Y,*seh₂-,,*ǵʰeh₁-,*ȷ́ʰaH-,ok
दा,dā-,*deh₃-,N,Y,*deh₃-,,*deh₃-; *deh₂-; *deh₁-,*daH-,ok
धा,,,N,Y,*dʰeh₁-,,*dʰeh₁-,*dʰaH-,ok
निज्,,,N,N,*neygʷ-,,*neygʷ-,,ok
विज्,,,Y,N,*weid-,,*weyg-,*wayȷ́-; *wayǰ-,ok
विष्,,,N,N,*weis-,Y,*weyh₁-; *weys-,,ok
घृ,,,Y,N,*ǵʰer-,,*gʷʰer-; *gʰer-,,ok
हृ,,,N,N,*ǵʰer-,,*ǵʰer-,[[*ȷ́ʰárati,ok
ऋ,,,N,N,*h₁er-,,*h₃er-; *h₁er-; *h₁erǵʰ-,,ok
सृ,,,N,N,*ser-,,*sel-; *ser-,*sar-,ok
भस्,,,Y,N,*bhes-,,*bʰes-,,ok
कि,,,N,N,*kʷey-,Y,,,no_sanskrit_section
कित्,,,N,N,*ǵʰeydʰ-,Y,,,missingtitle
तुर्,,,Y,N,*twer-,,*twerH-,*twr̥Hás,ok
धिष्,,,Y,N,*dʰeigʷʰ-,N,,,missingtitle
धन्,,,Y,N,*dʰen-,,*dʰenh₂-,,ok
जन्,,,Y,Y,*ǵenh₁-,,*ǵenh₁-,,ok
गा,,*g⁽ʷ⁾eH(i̯)-,N,Y,*gʷeh₂-,,*gʷeh₂-,*gaH-,ok
दिव्,,,Y,N,*deyw-,,*dyew-,,ok
सिव्,,*si̯eu̯H-,Y,N,*sē(i)-,,*syewH-,,ok
स्रिव्,,,Y,N,*srewbʰ-,Y,,,missingtitle
ष्ठिव्,,,Y,N,*ptu-,,,,missingtitle
स्नुस्,,,Y,N,*snā-,,,,missingtitle
स्नस्,,,Y,Y,*sneH-,Y,,,missingtitle
क्नस्,,,Y,N,*genes-,Y,,,missingtitle
व्युष्,,,Y,N,*h₁weys-,,*h₂ews-,,ok
प्लुष्,,,Y,N,*plew-,,*prews-,,ok
नृत्,,,Y,N,*ner-,N,*(s)ner-; *h₂nḗr,,ok
त्रस्,,,Y,N,*tres-,,*tres-,,ok
कुथ्,,,Y,N,*keu-,Y,,,missingtitle
पुथ्,,,Y,N,*bʰewdʰ-,Y,,,missingtitle
गुध्,,,Y,-,,Y,,,missingtitle
क्षिप्,,?*k⁽ʷ⁾su̯ei̯bʰ-,N,N,*kʷeyb-,,,,no_pie_found
पुष्प्,,,Y,N,*pus-,,,,no_pie_found
तिम्,,,Y,N,*tem-,N,,,missingtitle
तीम्,,,Y,N,*stem-,N,,,missingtitle
स्तिम्,,,Y,N,*(s)teyg-,,,,missingtitle
स्तीम्,,,Y,N,*stei̯gʰ-,Y,,,missingtitle
व्रीड्,,,Y,N,*wreǵ-,Y,,,missingtitle
इष्,,,Y,N,*h₁eys-,,*h₂eys-; *h₁eysh₂-,*Hiṣ; *Hiś,ok
सह्,,,Y,N,*seǵʰ-,,*seǵʰ-,*saźʰ-; *saȷ́ʰ-,ok
सुह्,,,Y,N,*sweḱ-,Y,,,missingtitle
जॄ,,,Y,Y,*ǵerh₂-,,*ǵerh₂-,*ȷ́arH-,ok
झॄ,,,Y,N,*ǵʰer-,Y,,,missingtitle
सू,"su-, sū-",,Y,N,*sū-,,*sewH-,*sawH-,ok
दू,,,Y,N,*dʰū-,,,,no_sanskrit_section
दी,,,N,N,*dey-,,*deyh₂-; *deyh₁-,,ok
डी,,,Y,Y,*deh₂-,Y,*deyh₁-,*uẓḍayH-; *udᶻdayH-,ok
धी,,*dʰei̯H-,N,N,*dʰē-,,,*dʰayH-,ok
मी,,,Y,N,*meh₁- (to measure),,*mey-,,ok
री,,,N,N,*h₁rei-,,,,no_pie_found
ली,,,Y,N,*sleiǵʰ-,,,,no_pie_found
व्री,,,N,Y,*gʷréh₂-,N,,,missingtitle
पी,,,N,Y,*peh₃-,,*peyh₂-; *peh₃-,,ok
मा,,,N,Y,*meh₂-,,*méh₁; *éǵh₂; *meh₁-,*máH; *maH-,ok
ई,,,N,N,*h₁ey-,,,,no_pie_found
प्री,,,Y,Y,*priH-,,*preyH-,,ok
शो,,,N,N,*ḱʷey-,,,,no_sanskrit_section
छो,,,N,Y,*skeyH-,Y,,,missingtitle
सो,,,N,Y,*seh₁-,,,,no_sanskrit_section
दो,,,N,Y,*deh₃-,,,,no_pie_found
जन्,,,Y,Y,*ǵenh₁-,,*ǵenh₁-,,ok
दीप्,,,Y,N,*dyeu-,Y,*deyh₂p-; *deyh₂-,,ok
पूर्,,,Y,Y,*pleh₁-,,,,no_pie_found
तूर्,,,Y,N,*twer-,,,,no_sanskrit_section
धूर्,,,Y,N,*dʰwer-,Y,,,no_sanskrit_section
गूर्,,,Y,Y,*gʷerH-,N,,,missingtitle
घूर्,,,Y,N,*gʰwer-,N,,,no_sanskrit_section
जूर्,,,Y,Y,*ǵʰewH-,N,,,missingtitle
शूर्,,,Y,N,*swer-,,*ḱewh₁-,*ćuHrás,ok
चूर्,,,Y,N,*kʷser-,N,,,no_sanskrit_section
तप्,,,Y,N,*tep-,,*tep-,*tap-,ok
वृत्,,*u̯ert-,Y,N,*wert-,,*wert-,,ok
वावृत्,,,Y,N,*wert-,N,,,missingtitle
क्लिश्,,,N,N,*glei-,Y,*k(ʷ)leyḱ-,,ok
काश्,"k̑as-, k̑as-no-",,Y,N,*kʷeḱ-,N,*kʷeḱ-,*kā́ś-; *kā́ć-,ok
वाश्,,,Y,N,*wekʷ-,N,,,no_pie_found
मृष्,,,Y,N,*mer-,N,,,no_pie_found
शुच्,,,Y,N,*ḱewḱ-,Y,*ḱewk-,*ćawk-,ok
नह्,,,N,Y,*h₂neh₁-,,,,no_pie_found
रञ्ज्,,,N,N,*reǵ-,,*(s)reg-,,ok
शप्,"sap-, sab-",,N,N,*sep-,N,,,no_pie_found
पद्,,*ped-,N,N,*ped-,,,,no_pie_found
खिद्,,,N,N,*skheid-,N,*kh₂eyd-,,ok
विद्,,*u̯ei̯d-,Y,N,*weid-,,*weyd-,*wayd-,ok
बुध्,,,N,N,*bʰeudʰ-,,*bʰewdʰ-,,ok
युध्,,*Hi̯eu̯dʰ-,N,N,*yewdʰ-,,,,no_sanskrit_section
रुध्,,,N,N,*h₁reudʰ-,,*lewdʰ-; *h₁lewdʰ-,*rawdʰ-,ok
अण्,,,Y,Y,*h₁enh₂-,N,,,no_sanskrit_section
अन्,,*h₂enh₁-,Y,Y,*h₁enh₂-,,*h₂enh₁-,,ok
मन्,,*men-,Y,N,*men-,,*men-,*man-,ok
युज्,,,Y,N,*yewg-,,*yewg-,,ok
सृज्,,,N,N,*serǵʰ-,,*selǵ-,,ok
लिश्,,,N,N,*sleikʷ-,Y,,,missingtitle
राध्,,,N,N,*wréh₂dʰ-,,*Hreh₁dʰ-,*HraHdʰ-,ok
व्यध्,,,N,N,*weǵʰ-,,*h₁weydʰh₁-; *wyedʰ-,*HwyadʰH-,ok
पुष्,,,Y,N,*pus-,,*(h₃)pews-,,ok
शुष्,"sū̆-s, suu̯-ós",,N,N,*h₂sews-,,*h₂sews-,*Hsaws-,ok
तुष्,,,N,N,*tews-,,*tews-,*tus-,ok
दुष्,dus-,,N,N,*dus-,,,*dus-,ok
श्लिष्,,,Y,N,*sleikʷ-,,*ḱley-,*ćRayš,ok
शक्,sak-,,N,N,*seǵʰ-,N,*ḱek-,*śak-; *ćak-,ok
स्विद्,,,N,N,*sweid-,,*sweyd-,,ok
क्रुध्,,,N,N,*krewdʰ-,,,,no_pie_found
क्षुध्,,,N,N,*ǵʰédʰ-,,,*ćšudʰ-,ok
शुध्,,,N,N,*(s)kʷey-,,*(s)ḱew-dʰ-; *(s)ḱew-,,ok
सिध्,,,N,Y,*seh₂-,,*ḱyesdʰ-,*sáydʰ,ok
रध्,,,N,N,*wréh₂d-,,,,missingtitle
नश्,nas-,,N,N,*neḱ-,,*h₂neḱ-; *neḱ-,*Hnaś-; *Hnać-; *naś-; *nać-,ok
तृप्,,,Y,N,*terp-,,*terp-,,ok
दृप्,,,Y,N,*dʰrebʰ-,Y,,,no_pie_found
द्रुह्,,,N,N,*dʰreǵʰ-,,*dʰrewgʰ-,*dʰrúkš,ok
मुह्,,,N,N,*mūs-,N,,*mawǰʰ- ~ *mawgʰ-,ok
स्नुह्,,,N,N,*snus-,N,,,missingtitle
स्निह्,,,Y,N,*sneygʷʰ-,,*sneygʷʰ-,,ok
शम्,,,Y,N,*ḱem-,,*ḱemh₂-,,ok
तम्,,,Y,N,*tem-,,,,no_pie_found
दम्,,,Y,N,*dem-,,*demh₂-,*dám; *dṓm; *damH-,ok
श्रम्,,,Y,N,*ḱrem-,,,,no_pie_found
भ्रम्,,,Y,N,*bhrem-,,,*bʰramH-; -,ok
क्षम्,,,N,N,*kem-,N,,,missingtitle
क्लम्,,,Y,N,*klem-,N,,,missingtitle
मद्,mad-,,Y,N,*med-,,*meh₂d-,,ok
अस्,"ā̆s-, based on it azd-, azg(h)-",*h₁es-,Y,N,*h₁es-,,*h₁es-,*Has-; -,ok
यस्,,,Y,N,*yes-,,*yes-,,ok
जस्,,,Y,N,*ǵes-,Y,,,no_pie_found
तस्,,,Y,Y,*teh₂-,N,,,missingtitle
दस्,,,Y,Y,*deh₃-,,,,no_pie_found
वस्,,,Y,N,*wes-,,*wos; *wes-; *h₂ews-; *h₂wes-,*was,ok
बस्,,,Y,N,*gʷʰesu-,Y,,,no_sanskrit_section
युस्,,,Y,N,*yewes-,Y,,,missingtitle
व्युष्,,,Y,N,*h₁weys-,,*h₂ews-,,ok
व्युस्,,,Y,N,*h₂wes-,Y,,,missingtitle
ब्युस्,,,Y,Y,*bʰeuH-,N,,,missingtitle
बुस्,,,Y,N,*bʰewdʰ-,Y,,,missingtitle
वुस्,,,Y,Y,*bʰeuH-,N,,,missingtitle
प्युष्,,,Y,Y,*puH-,Y,,,missingtitle
प्युस्,,,Y,Y,*puH-,Y,,,missingtitle
पुष्,,,Y,N,*pus-,,*(h₃)pews-,,ok
प्लुष्,,,Y,N,*plew-,,*prews-,,ok
विस्,,,Y,N,*weid-,,,,missingtitle
बिस्,,,Y,Y,*gʷih₃-,Y,,,no_sanskrit_section
कुस्,,,Y,N,*kews-,Y,,,no_sanskrit_section
कुश्,,,Y,N,*kʷekʷ-,Y,,,no_pie_found
स्विद्,,,N,N,*sweid-,,*sweyd-,,ok
क्षम्,,,N,N,*kem-,N,,,missingtitle
बुस्,,,Y,N,*bʰewdʰ-,Y,,,missingtitle
मुस्,,,Y,N,*mūs-,N,,,missingtitle
मस्,,,Y,N,*mas-,N,,,no_pie_found
सम्,,,Y,N,*sem-,,,,no_pie_found
लुट्,,,Y,Y,*lewH-,Y,,,no_pie_found
लुठ्,,,Y,N,*lewdʰ-,Y,,,no_pie_found
उच्,,,Y,N,*wekʷ-,,*h₁ewk-,,ok
भृश्,,,Y,N,*bʰer-,,,,missingtitle
स्तिम्,,,Y,N,*(s)teyg-,,,,missingtitle
भ्रंश्,,,Y,N,*bhrens-,,*bʰrenḱ-,*bʰranś-; *bʰranć-,ok
वृश्,,,Y,N,*(s)wer-,,,,missingtitle
कृश्,,,Y,N,*kʷers-,,*kr̥ḱós; *kerḱ-,*kr̥śás; *kr̥ćás,ok
तृष्,,,Y,N,*ters-,,*ters-,,ok
हृष्,,,Y,N,*ǵʰers-,,*ǵʰers-,,ok
रुष्,,,Y,N,*reus-,Y,,,no_pie_found
रिष्,,,Y,N,*h₁rei-,,,,missingtitle
डिप्,,,Y,N,*dʰeyb-,Y,,,missingtitle
कुप्,k̑up-,,Y,N,*kʷep-,N,*kwep-,*kawp-,ok
गुप्,,,Y,N,*gʷʰobʰ-,,,,no_pie_found
युप्,,,Y,N,*yewp-,Y,,,missingtitle
रुप्,,,Y,N,*rewp-,Y,,,no_sanskrit_section
लुप्,,,N,N,*lup-,,*Hrewp-,*Hrawp-,ok
स्तुप्,,,Y,N,*stewp-,N,,,missingtitle
स्तूप्,,,Y,N,*stewp-,,,*stúHpas,ok
लुभ्,,,Y,N,*lewbʰ-,,*lewbʰ-,,ok
क्षुभ्,,,Y,N,*kʷʰewbʰ-,,,,no_pie_found
नभ्,,,Y,N,*nebʰ-,,*nebh-,,ok
तुभ्,,,Y,N,*teu-,Y,,,missingtitle
क्लिद्,,,N,N,*glei-,Y,,,no_pie_found
मिद्,,,Y,N,*meyd-,N,,,missingtitle
क्ष्विद्,,,Y,N,*skheid-,Y,,,missingtitle
ऋध्,,,Y,N,*h₁redʰ-,,*h₂eldʰ-; *h₂erdʰ-,,ok
गृध्,,,Y,N,*gredh-,N,*g⁽ʷ⁾eldʰ-,,ok
सु,"su-, sū-",,N,N,*h₁sū-,,*sewh₁-,*saw-,ok
सि,,,N,N,*h₁sē-,,*sh₂ey-,*saH-,ok
शि,,,N,N,*ḱey-,,,,missingtitle
मि,,,N,N,*mey-,,,,no_sanskrit_section
चि,,,Y,N,*kʷei-,,*kʷey-,,ok
स्तृ,,*h₂ster-,N,Y,*sterh₃-,,*h₂stḗr,*Hstā́,ok
कृ,,*kʷer-,N,N,*kʷer-,,*kʷer-; *kreH-,*kar-,ok
वृ,,,Y,N,*wer-,,*welh₁-; *h₂wer-; *wer-; *welH-,*war-,ok
धु,,,N,N,*dʰū-,,,,missingtitle
धू,,,Y,Y,*dʰewh₂-,,,,missingtitle
दु,,,N,N,*du-,,*deh₂w-,,ok
हि,,,N,N,*dʰǵʰē-,,*ǵʰey-; *ǵʰí,*źʰí; *ȷ́ʰí,ok
पृ,,,N,Y,*pelh₂-,,*per-,,ok
स्पृ,,,N,N,*sper-,,*sper-; *(s)pel-,,ok
स्मृ,,,N,N,*smer-,,*(s)mer-,*smar-,ok
आप्,,,Y,N,*h₂ep-,,*h₁ep-,*HaHp-,ok
शक्,sak-,,N,N,*seǵʰ-,N,*ḱek-,*śak-; *ćak-,ok
राध्,,,N,N,*wréh₂dʰ-,,*Hreh₁dʰ-,*HraHdʰ-,ok
साध्,,,N,N,*seh₂dʰ-,N,*seHdʰ-,*sáHdʰ,ok
अश्,"ā̆s-, based on it azd-, azg(h)-",,Y,N,*h₁ed-,,*h₂neḱ-; *h₂eḱh₃-,*HaćH-,ok
स्तिघ्,,,Y,N,*steigʰ-,,*steygʰ-,,ok
तिक्,,,Y,N,*teiǵ-,Y,,,missingtitle
तिग्,,,Y,N,*steigʰ-,Y,,,missingtitle
सघ्,,,Y,N,*sekʷ-,Y,,,missingtitle
धृष्,,,Y,N,*dʰers-,,*dʰers-; *dʰer-,*-s-,ok
दम्भ्,,,Y,N,*dʰgʷʰem-,,*dʰembʰ-; *dʰebʰ-,,ok
ऋध्,,,Y,N,*h₁redʰ-,,*h₂eldʰ-; *h₂erdʰ-,,ok
तृप्,,,Y,N,*terp-,,*terp-,,ok
अह्,,,Y,N,*h₂eǵʰ-,,,*Hadʰ,ok
दघ्,,,Y,N,*dʰegʷʰ-,N,,,missingtitle
चम्,,,Y,N,*(s)kem-,Y,*kʷem-,,ok
रि,,,N,N,*h₁rei-,,*h₃reyH-,,ok
क्षि,,,N,N,*tḱey-,,*tk-éh₁-; *tek-; *tḱey-; *dʰgʷʰey-,*gẓʰi-; *gžʰi-,ok
चिरि,,,Y,N,*kʷer-,Y,,,missingtitle
जिरि,,,Y,Y,*ǵʰerh₂-,Y,,,missingtitle
दाश्,,,Y,Y,*deh₃-,,*deḱ-,,ok
दृ,,,N,N,*dʰer-,,,,missingtitle
ऋक्ष्,,,N,N,*h₂ŕ̥tḱos,,*h₂ŕ̥tḱos,*Hŕ̥ćšas,ok
तुद्,,,N,N,*(s)teu-,,*(s)tewd-,*tawd-,ok
नुद्,,,N,N,*(s)neud-,,*newd-; *new-,*-d-,ok
दिश्,,,N,N,*deik̂-,,*deyḱ-,*dayć-,ok
भ्रज्ज्,,,N,N,*bʰerǵ́-,,,,missingtitle
क्षिप्,,?*k⁽ʷ⁾su̯ei̯bʰ-,N,N,*kʷeyb-,,,,no_pie_found
कृष्,,,N,N,*kʷers-,,*kʷels-,*karṣ-; *karš-,ok
ऋष्,,,Y,N,*h₁reḱ-,,,,missingtitle
जुष्,,,Y,N,*ǵews-,,*ǵews-,,ok
विज्,,,Y,N,*weid-,,*weyg-,*wayȷ́-; *wayǰ-,ok
लज्,,,Y,N,*led-,Y,,,no_sanskrit_section
लज्ज्,,,Y,N,*reǵ-,Y,,,no_pie_found
व्रश्च्,,,N,N,*wreḱ-,,*h₂werg-; *wrek-,*Hwr̥ščáti,ok
व्यच्,,,Y,N,*wekʷ-,Y,,,missingtitle
उञ्छ्,,,Y,N,*h₂ems-,Y,,,missingtitle
उच्छ्,,,Y,N,*ut-,Y,,,missingtitle
ऋच्छ्,,,Y,N,*h₂reǵʰ-,,,,missingtitle
मिच्छ्,,,Y,N,*meyǵʷ-,Y,,,missingtitle
जर्ज्,,,Y,Y,*ǵʰerh₂-,Y,,,missingtitle
चर्च्,,,Y,-,,Y,,,no_sanskrit_section
झर्झ्,,,Y,N,*ǵʰers-,Y,,,missingtitle
त्वच्,,,Y,N,*tewk-,Y,*twek-,,ok
ऋच्,,,Y,N,*wrékʷ-,,*h₁erkʷ-,,ok
उब्ज्,,,Y,N,*web-,Y,,,missingtitle
उज्झ्,,,Y,N,*h₁weǵʰ-,N,,,no_pie_found
लुभ्,,,Y,N,*lewbʰ-,,*lewbʰ-,,ok
रिफ्,,,Y,N,*Hrep-,Y,,,no_pie_found
रिह्,,,Y,N,*l(e)iǵʰ-,,,,no_pie_found
तृप्,,,Y,N,*terp-,,*terp-,,ok
ऋह्,,,Y,N,*h₁reǵʰ-,,,,missingtitle
तृफ्,,,Y,N,*dʰrebʰ-,Y,,,missingtitle
तृम्फ्,,,Y,N,*tremb-,Y,,,missingtitle
तुप्,,,Y,N,*stewp-,Y,,,missingtitle
तुम्प्,,,Y,N,*tewp-,Y,,,missingtitle
तुफ्,,,Y,N,*tup-,Y,,,missingtitle
तुम्फ्,,,Y,N,*tump-,Y,,,missingtitle
दृप्,,,Y,N,*dʰrebʰ-,Y,,,no_pie_found
स्तृंह्,,,N,Y,*sterh₃-,,,,missingtitle
दृफ्,,,Y,N,*drebh-,Y,,,missingtitle
दृम्फ्,,,Y,N,*drembʰ-,N,,,missingtitle
ऋफ्,,,Y,N,*Hrep-,Y,,,missingtitle
ऋम्फ्,,,Y,N,*Hremb-,Y,,,missingtitle
गुफ्,,,Y,N,*gʷebʰ-,Y,,,missingtitle
गुम्फ्,,,Y,N,*gʷembʰ-,Y,,,no_pie_found
उभ्,,,Y,N,*h₂ep-,N,*bʰóh₁,*HubʰáH,ok
उम्भ्,,,Y,N,*h₂em-,Y,,,missingtitle
शुभ्,,,Y,N,*ḱewbʰ-,,*ḱewbʰ-; *(s)kewh₁-; *ḱew-,*ćawbʰ-,ok
शुम्भ्,,,Y,N,*skubh-,Y,*ḱewbʰ-; *ḱew-,,ok
दृभ्,,,Y,N,*dʰrebʰ-,N,*derbʰ-,,ok
चृत्,,,Y,N,*kʷert-,,,,missingtitle
विध्,,,Y,N,*weydʰ-,,,,no_pie_found
जुड्,,,Y,-,,Y,,,missingtitle
जुन्,,,Y,N,*yewdʰ-,Y,,,no_sanskrit_section
मृड्,,,Y,N,*merd-,N,,*mr̥žd-,ok
पृड्,,,Y,N,*per-,Y,,,missingtitle
पृण्,,,Y,Y,*pelh₁-,Y,,,missingtitle
वृण्,,,Y,N,*wer-,N,,,missingtitle
मृण्,,,Y,N,*mer-,N,,,missingtitle
तुण्,,,Y,N,*ten-,Y,,,missingtitle
पुण्,,,Y,Y,*pelh₁-,,,,missingtitle
मुण्,,,Y,N,*meu-,Y,,,missingtitle
कुण्,,,Y,N,*keu-,Y,,,no_sanskrit_section
शुन्,,,Y,N,*ḱwon-,N,,,missingtitle
द्रुण्,,,Y,-,,,,,missingtitle
घुण्,,,Y,N,*gʷʰen-,N,,,no_pie_found
घूर्ण्,,,Y,N,*gʷʰer-,N,,,no_pie_found
सुर्,,,Y,N,*swer-,,*h₂ems-,,ok
कुर्,,,Y,N,*kʷer-,,,,missingtitle
खुर्,,,Y,-,,,,,no_pie_found
मुर्,,,Y,-,,,,,missingtitle
क्षुर्,,,Y,N,*ksēur-,N,*ksew-,*kšurás,ok
घुर्,,,Y,N,*gher-,N,,,missingtitle
पुर्,,,Y,Y,*pleh₁-,,*tpelH-,,ok
वृह्,,,N,Y,*welH-,,,,missingtitle
बृह्,,,N,N,*bʰerǵʰ-,,*bʰerǵʰ-,*bʰŕ̥ȷ́ʰ-,ok
तृह्,,,Y,Y,*terh₂-,,*(s)terǵʰ,*(s)tarjʰ,ok
स्तृह्,,,N,Y,*sterh₃-,,,,missingtitle
तृंह्,,,N,N,*teren-,Y,,,missingtitle
इष्,,,Y,N,*h₁eys-,,*h₂eys-; *h₁eysh₂-,*Hiṣ; *Hiś,ok
मिष्,,,Y,N,*meygʷʰ-,Y,,,missingtitle
किल्,,,Y,N,*kel-,Y,,,no_pie_found
तिल्,,,Y,N,*til-,Y,,,no_pie_found
चिल्,,,Y,N,*kʷel-,Y,,,missingtitle
चल्,,,Y,N,*kʷel-,N,,,no_pie_found
इल्,"īl-, īlu-",,Y,N,*h₁el-,N,*h₁elh₂-,,ok
विल्,,,Y,Y,*welh₁-,Y,,,missingtitle
बिल्,,,Y,N,*bel-,Y,*bel-,,ok
निल्,,,Y,-,,Y,,,missingtitle
हिल्,,,Y,-,,Y,,,no_pie_found
शिल्,,,Y,N,*skel-,Y,,,missingtitle
सिल्,,,Y,-,,Y,,,no_sanskrit_section
मिल्,,,Y,Y,*melh₂-,Y,,,no_pie_found
लिख्,,,Y,N,*leǵʰ-,,*h₁reykh₂-; *h₁rey-,,ok
कुट्,,,Y,N,*gʷed-,Y,,,no_pie_found
पुट्,,,Y,N,*bʰewdʰ-,Y,,,no_sanskrit_section
कुच्,,,Y,N,*kʷekʷ-,Y,,,no_pie_found
गुज्,,,Y,N,*gʷewd-,Y,,,no_sanskrit_section
गुड्,,,Y,Y,*gʷelH-,Y,,,no_pie_found
डिप्,,,Y,N,*dʰeyb-,Y,,,missingtitle
छुर्,,,Y,N,*(s)ker-,Y,,,missingtitle
स्फुट्,,,Y,N,*spleit-,,*bʰel-,,ok
मुट्,,,Y,N,*mewt-,Y,,,no_pie_found
त्रुट्,,,Y,N,*treud-,Y,,,no_pie_found
तुट्,,,Y,Y,*tewh₂-,Y,,,missingtitle
चुट्,,,Y,N,*kewt-,Y,,,missingtitle
छुट्,,,Y,N,*skut-,Y,,,no_sanskrit_section
जुड्,,,Y,-,,Y,,,missingtitle
जुट्,,,Y,-,,Y,,,no_sanskrit_section
कड्,kā̆d-,,Y,N,*sked-,N,,,no_pie_found
लुट्,,,Y,Y,*lewH-,Y,,,no_pie_found
लुठ्,,,Y,N,*lewdʰ-,Y,,,no_pie_found
कड्,kā̆d-,,Y,N,*sked-,N,,,no_pie_found
कृड्,,,Y,N,*kʷer-,Y,,,missingtitle
कुड्,,,Y,N,*kʷed-,Y,,,missingtitle
पुड्,,,Y,N,*bʰewdʰ-,Y,,,missingtitle
घुट्,,,Y,N,*gʰewdʰ-,Y,,*gʰarH-,ok
तुड्,,,Y,N,*(s)tewd-,N,,,missingtitle
थुड्,,,Y,Y,*tewh₂-,Y,,,no_pie_found
स्थुड्,,,Y,Y,*steh₂-,,,,missingtitle
खुड्,,,Y,N,*skud-,Y,,,missingtitle
छुड्,,,Y,N,*skud-,Y,,,missingtitle
स्फुर्,,,Y,N,*sper-,,*sperH-,,ok
स्फुल्,,,Y,N,*sph(e)l-,Y,,,missingtitle
स्फर्,,,Y,N,*sper-,,,,missingtitle
स्फल्,,,Y,N,*sph(e)l-,Y,,,missingtitle
स्फुड्,,,Y,N,*sph(e)wd-,Y,,,missingtitle
चुड्,,,Y,N,*skʷed-,Y,,,missingtitle
व्रुड्,,,Y,N,*wreǵ-,Y,,,missingtitle
क्रुड्,,,Y,N,*kʷer- (to make,,,,missingtitle
भृड्,,,Y,N,*bʰer- (to carry),,,,missingtitle
हुड्,,,Y,N,*ǵʰew-,Y,,,no_pie_found
गुर्,,,Y,N,*gʷerH- (to praise),,*gʷelH-,,ok
नू,nū̆-,,Y,N,*h₂new- (to nod),,,,no_sanskrit_section
धू,,,Y,Y,*dʰewh₂-,,,,missingtitle
गु,,,N,N,*gʷṓws,,,,no_pie_found
ध्रु,,,N,N,*dʰreu-,,,,missingtitle
कु,"ku-, kus-",,N,N,*kʷew-,Y,,*kú,ok
कू,"ku-, kus-",,Y,Y,*ǵʷeh₂-,Y,*(s)kewh₁-,*kū-; *kʷ-,ok
पृ,,,N,Y,*pelh₂-,,*per-,,ok
मृ,"mə-r, genitive mə-n-és, mn̥tós",*mer-,N,N,*mer-,,*mer-,*mar-,ok
